title,subject
"Sam, Bangs & Moonshine","Human-animal relationships,Picture books,Truthfulness and falsehood,Existentialism,Juvenile fiction,Philosophy,Fiction,Fathers and daughters,Imagination,Accessible book,Cats,Islands, fiction,Protected DAISY,Caldecott Medal books,Education,Children's fiction"
Pinta ratones,"Picture books,Color,Spanish language materials,Mice, fiction,Fiction,Color, fiction,Accessible book,Ficción juvenil,Ratones,Protected DAISY,Mice,Painting,Children's fiction"
Mr Gumpy's outing,"Discipline,Animals,Picture books,Boats and boating,Juvenile fiction,Fiction,Boats and boating, fiction,Domestic animals,Children's fiction"
Charlie Cook's favorite book,"Books and reading,Stories in rhyme,Juvenile fiction,Fiction,Children's fiction,Toy and movable books,Books and reading, fiction,Ipuinak-,Libros infantiles,Cuentos-,Irakurketa-,Haur eta gazteentzako liburuak,Lectura-,Picture books,Accessible book,Protected DAISY"
Maurice Sendak's Little Bear,"Juvenile Easy Readers,Little Bear (Fictional character : Minarik),Animals,Picture books,Little Bear (Fictitious character : Minarik),Bears,Protected DAISY,Accessible book,Weddings,Children: Kindergarten,Fiction,Toys,Accelerated Reader"
Little Toot,"Picture books,Accessible book,Tugboats,Juvenile fiction,Protected DAISY,Tugboats in fiction,Fiction,Ship's papers,Tugboats, fiction,Courage,Adventure stories,Ambition,Boats and boating,Fear,Children's fiction"
Oxford Picture Dictionary,"English language, textbooks for foreign speakers,Picture books,Vocabulary,English language, dictionaries, juvenile,Picture dictionaries,English language, dictionaries, urdu,Chinese language, dictionaries,English language, dictionaries,Vocabulary, juvenile literature,English language, dictionaries, chinese,English language, dictionaries, creole dialects, french, haiti"
Fish is fish,"Picture books,Frogs,Fishes, fiction,Juvenile fiction,Fiction,Frogs, fiction,Accessible book,Contentment,Children's stories,Protected DAISY,Fishes,Stories,Children's fiction,Friendship,Loneliness"
Stevie,"Children's fiction,Picture books,Amistad,Friendship,Spanish language materials,Friendship, fiction,Materiales en español,Fiction,Accessible book,Novela,Protected DAISY,Hospitality,Entertaining,Friends,African Americans,Juvenile fiction"
Madeline and the gypsies,"Nuclear models,Children's stories, American,Juvenile poetry,Orphans, fiction,Juvenile fiction,Circus,Poetry,Gypsies,Paris (france), fiction,Stories in rhyme,Accessible book,Picture books,Romanies, fiction,Protected DAISY,Romanies,France, fiction,Madeline (fictitious character), fiction,Fiction,Picture books for children,Children's fiction,Madeline (Fictitious character)"
The Night Before Christmas,"Picture books,Juvenile poetry,Santa claus, poetry,Christmas, poetry,Children's poetry,Christmas poetry,Stories in rhyme,Christmas, fiction,American poetry,Children's fiction,Santa claus, fiction,Children's poetry, American"
"Go, Dog. Go!","Fiction,Travel, fiction,Children's fiction,Transportation,Picture books,Readers,Accessible book,Juvenile fiction,Rhymes,Dogs,Novela juvenil,Stories in rhyme,Spanish language materials,Transportation, fiction,Dogs, fiction,Go,Perros,Dog. Go!,Juvenile literature,P.D. Eastman,Word recognition"
The Deer in the Wood,"Frontier and pioneer life, fiction,Frontier and pioneer life,Family,Juvenile fiction,Deer,Family life,Fiction,Deer, fiction,Accessible book,Wisconsin, fiction,Historical fiction,Protected DAISY,Family life, fiction,Children's fiction,Picture books"
Sharing a Shell,"Children's fiction,Sharing, fiction,Stories in rhyme,Picture books,Crabs,Sharing,Marine animals,Fiction"
Many moons,"Protected DAISY,Picture books,Juvenile fiction,unicorns,Moon, fiction,illustration,Fiction,Accessible book,Fairy tales,Caldecott Medal,Princesses,Children's fiction"
"A Boy, a Dog, and a Frog","Picture books,Frogs,Boys, fiction,Protected DAISY,Fiction,Frogs, fiction,Accessible book,Dogs, fiction,Children's stories,Baths,Children's fiction"
